mmsi,type,type_specific,name,country_iso
987084501,Pleasure Craft,Pleasure Craft,TT EILEEN 2,
985380440,Pleasure Craft,Pleasure Craft,TT LEGEND CHINSTRAP,MH
985380437,Pleasure Craft,Pleasure Craft,SHACKLETON TT LEGEND,MH
985380251,Pleasure Craft,Pleasure Craft,TT LAURENTIA,MH
985380066,Passenger,Passenger,SS EXPLORER T7,MH
983192449,Pleasure Craft,Pleasure Craft,TT MY LITTLE VIOLET,KY
983192447,Pleasure Craft,Pleasure Craft,TT SAMARA,KY
983192422,Pleasure Craft,Pleasure Craft,TT ASOLARE,KY
983192409,Pleasure Craft,Pleasure Craft,TT ARTISAN,KY
983192369,Pleasure Craft,Pleasure Craft,E1,KY
983192322,Pleasure Craft,Pleasure Craft,M EM BEACHLANDER,KY
983191057,Pleasure Craft,Pleasure Craft,TT LADY KATHRYN,KY
982564980,Pleasure Craft,Pleasure Craft,TT SAL,MT
982320065,Pleasure Craft,Pleasure Craft,TT MAYFLOWER J,GB
982320029,Pleasure Craft,Pleasure Craft,MOMO T T NAIA,GB
982270029,Pleasure Craft,Pleasure Craft,TT GENESIA,FR
982158311,Pleasure Craft,Pleasure Craft,TT MAXIMILIAN MMIV,MT
982152792,Pleasure Craft,Pleasure Craft,TENDER 3 TO WHEELS,MT
982152790,Pleasure Craft,Pleasure Craft,TT WHEELS CC,MT
799999999,Fishing,Fishing,TAN AN 75 BC39,
760105000,Sailing Vessel,Sailing Vessel,BAP UNION,PE
742156722,,,,
741991322,,,,
741989592,,,,
741989552,,,,
710239000,Tanker,Crude Oil Tanker,ZUMBI DOS PALMARES,BR
701007139,Sailing Vessel,Sailing Vessel,MATRERO,AR
677067800,Tug,Tug,SEAN CHRISTOPHER,TZ
672748000,Passenger,Ro-Ro or Passenger Ship,TANIT,TN
672747000,Cargo,Ro-Ro Cargo,AMILCAR,TN
672704000,Cargo - Hazard A (Major),Ro-Ro Cargo,ELYSSA,TN
672269000,Passenger,Ro-Ro or Passenger Ship,CARTHAGE,TN
672248000,Cargo,Ro-Ro Cargo,ULYSSE,TN
672000030,Cargo,Container Ship,FATMA,TN
671929000,Cargo,General Cargo,LADY EVA,TG
667001657,Cargo,General Cargo,MADDOX,SL
664068000,Sailing Vessel,Sailing Vessel,CROSS KEYS,SC
645734000,Sailing Vessel,Sailing Vessel,ORYX,MU
645317000,Tug,Tug,DN95,MU
642122013,Tanker,Oil or Chemical Tanker,MAETIGA,LY
636093194,Cargo - Hazard D (Recognizable),Container Ship,VIENNA EXPRESS,LR
636093181,Cargo - Hazard A (Major),Container Ship,AL MASHRAB,LR
636093176,Cargo - Hazard A (Major),Container Ship,UNAYZAH EXPRESS,LR
636093174,Cargo - Hazard A (Major),Container Ship,JEBEL ALI,LR
636093172,Cargo - Hazard A (Major),Container Ship,ALULA EXPRESS,LR
636093171,Cargo - Hazard A (Major),Container Ship,AL MURABBA,LR
636093170,Cargo,Container Ship,KIEL EXPRESS,LR
636093169,Cargo - Hazard A (Major),Container Ship,SALAHUDDIN,LR
636093166,Cargo - Hazard A (Major),Container Ship,AL DHAIL,LR
636093164,Cargo - Hazard A (Major),Container Ship,AL RIFFA,LR
636093161,Cargo - Hazard A (Major),Container Ship,YANTIAN EXPRESS,LR
636093159,Cargo - Hazard A (Major),Container Ship,AS CLAUDIA,LR
636093156,Cargo - Hazard B,Container Ship,BREMEN EXPRESS,LR
636093155,Cargo,Container Ship,DALIAN EXPRESS,LR
